Video URL,Title,Likes Count,Comment Count
https://www.youtube.com/watch?v=zznWKzGgN9o,New study looks at teacher perpetrated sexual misconduct in postprimary schools in Irelandmp4,5,1
https://www.youtube.com/watch?v=zzeGxgjAcX0,Theyre bleeding the public dry public react to news of August price increase on pints,77,36
https://www.youtube.com/watch?v=zx-E7MNmGT4,7 Day Weather Forecast 15th of August to 21th of August,5,0
https://www.youtube.com/watch?v=ZUEKM44zGSQ,Mason Greenwood arrives at court in Manchester,19,1
https://www.youtube.com/watch?v=ZU-S5_9Y8Ds,Limerick ghost estate tells story of dying rural Ireland with over 80000 vacant properties,49,29
https://www.youtube.com/watch?v=ZpIoGVYIUxQ,The Making of Joe McCarthy,88,7
https://www.youtube.com/watch?v=Zo2fQg-H3SY,Third nephew of Gerry The Monk Hutch killed in gangland shooting,41,4
https://www.youtube.com/watch?v=zNZI1v9bPNw,A Day in My Wheels How accessible is Ireland,12,1
https://www.youtube.com/watch?v=ZLrwujBNOz8,Mr Moonlight love rival trial  the key players,2,0
https://www.youtube.com/watch?v=zhOnU5l23oU,Irelands Changing Sexual Landscape 2016,1,0
https://www.youtube.com/watch?v=zHgSltbbWGw,Micheál Martin EU and UK negotiators must be given space to reach NI Protocol deal,8,32
https://www.youtube.com/watch?v=ZFkGITV86pI,Revealed Irelands most overcrowded hospitals,10,8
https://www.youtube.com/watch?v=zedks0CHGH4,Enoch Burke and family shout their objections while school board meeting is held in Mullingar,231,1267
https://www.youtube.com/watch?v=ZE2e3VVJwMw,Price increases and product shortages in Ireland due to Houthi attacks,4,3
https://www.youtube.com/watch?v=ZdvuvNGRjtk,I was profoundly shocked  Mary Lou McDonald on discovering Jonathan Dowdalls criminality,23,27
https://www.youtube.com/watch?v=zAsHNYYdMgk,The case against Gerry The Monk Hutch as prosecution rests its case,79,24
https://www.youtube.com/watch?v=ZaEAgHtYkCY,Another Ballymun in Coolock  Locals outraged as 471 apartment complex to go ahead,175,53
https://www.youtube.com/watch?v=z5iG73XM2GM,Andrei Dobra arriving at Trim Court,3,2
https://www.youtube.com/watch?v=z4ZUP9PWHSU,Electoral Commissions new review recommends 14 extra TDs,6,5
https://www.youtube.com/watch?v=Z04lhl7ib8g,10 things we learned from RTÉs statement,3,3
https://www.youtube.com/watch?v=z-ol6q2O48Y,Degree of suffering of Gaza civilians not acceptable at all says Micheál Martin,6,2
https://www.youtube.com/watch?v=yvGSFkg4J6U,Joy in Dublin Airport as Irish troops arrive home from Lebanon,18,8
https://www.youtube.com/watch?v=yVe60oPX_TA,Are you sure you are not a bit bonkers Leo Varadkar asks People Before Profit members in Dáil,80,94
https://www.youtube.com/watch?v=yva40Y0FixQ,CCTV shows twins sentenced for abandoning buggy and attacking another woman,5,8
https://www.youtube.com/watch?v=Yto0o4IeKR8,Mourners hear fallen Irish peacekeeper is a national hero,12,1
https://www.youtube.com/watch?v=yTJPykxzBA4,Pearse Doherty confronts Tánaiste Micheál Martin with stories of homelessness in Dáil clash,78,97
https://www.youtube.com/watch?v=YR_x0-9QOZE,RTE pay controversy is a breach of trust says Micheál Martin,15,92
https://www.youtube.com/watch?v=yNo0adFu9m0,US looking into reports of Russian missiles crossing into Poland,5,26
https://www.youtube.com/watch?v=Ym3zQva5HXc,I always knew he would be Taoiseach  Leo Varadkar wishes Simon Harris success,21,21
https://www.youtube.com/watch?v=YLFZQqaX0Ow,Dublin Bus drivers to suspend evening services to parts of Dublin,31,26
https://www.youtube.com/watch?v=YK7y27eWMYQ,Inside the Irish Independent Newsroom,15,0
https://www.youtube.com/watch?v=YJP788AB9qA,Michael Martin responds to questions on the future of RTE funding,16,21
https://www.youtube.com/watch?v=yh1o09Rc8Bo,Irelands Christmas weather forecast,3,1
https://www.youtube.com/watch?v=YF_kC3-OLrs,Irelands 7day weather forecast,3,0
https://www.youtube.com/watch?v=yEHMGakslvU,Body of Private Seán Rooney arrives back in Ireland,42,16
https://www.youtube.com/watch?v=YB5PcVdxx1U,Meteor shower took place over Cork City,6,4
https://www.youtube.com/watch?v=Y6zaWqOc000,Catriona Carey leaves court,28,45
https://www.youtube.com/watch?v=y5T1Mez8JzI,Irish woman joining Japanese billionaire on first civilian flight to moon,4,0
https://www.youtube.com/watch?v=Y5Ed24JiTYg,Tara OKelly shares her story as part of the Culture Date with Dublin 8 festival,22,6
https://www.youtube.com/watch?v=Y325zuBIc-A,Sneak peek Brittany Ferries has launched its new service the Salamanca from Rosslare to Bilbao,27,7
https://www.youtube.com/watch?v=y1hTZEJ8rYM,Truckers block Dublin bridges and roundabouts to protest rising fuel costs,357,187
https://www.youtube.com/watch?v=Y0ikFYfDWjY,Dáil erupts in laughter as Eamon Ryan says we are only warming up during climate target speech,50,29
https://www.youtube.com/watch?v=y__3JdLf5Zc,Unsolved Crimes The Raoinaid Murray Investigation,404,79
https://www.youtube.com/watch?v=XZns4V_h8mM,Garda Commissioner Drew Harris on new hate crime definition,11,33
https://www.youtube.com/watch?v=xvVSGAE-uB0,Hundreds gather for vigil for Tina Satchwell in Fermoy Co Cork,22,1
https://www.youtube.com/watch?v=XvMB5OkRtmc,Ireland thinks poll Fine Gael receives small bounce from Simon Harris,12,22
https://www.youtube.com/watch?v=XVEnqNPyWBk,RTEs top presenters release statements on earnings,9,38
https://www.youtube.com/watch?v=XUnkSkA7tuw,Minister of State James Browne on reform of defamation laws,0,1
https://www.youtube.com/watch?v=xTUVtj-cFr8,Dublin jeweller describes incident where he saw off armed raider,6,1
https://www.youtube.com/watch?v=XrvoXLRAvnw,Outcry as cherry blossom trees chopped down in South Dublin park,22,10
https://www.youtube.com/watch?v=xqZQAVHH0vA,Who is Enoch Burke the teacher in legal standoff with his school,69,184
https://www.youtube.com/watch?v=Xpa-H6QQNLI,Shane MacGowan described as icon of Dublin ahead of funeral,43,3
https://www.youtube.com/watch?v=XOIy9lQXkAA,Leo Varadkar arrives at Orange Order headquarters in Belfast,2,5
https://www.youtube.com/watch?v=xNXfzQR1D6s,Charlie Weston How Irish households are paying way over the odds for electricity,12,1
https://www.youtube.com/watch?v=xnMYVjJ5WuA,Donegal residents fear for health and childrens safety in substandard Mica homes,220,63
https://www.youtube.com/watch?v=xmBaG0E6R9A,People need functioning executive during costofliving crisis  ONeill,1,1
https://www.youtube.com/watch?v=xLxFrCbdZTo,Why Donald Trump is Popular in the West,1,0
https://www.youtube.com/watch?v=XG3506g6gCc,Sinn Fein president MaryLou McDonald reacts to being excluded from multiparty talks,34,78
https://www.youtube.com/watch?v=xg_Zr06LsuI,Saturdays Irish Independent Centenary Papers Part 3,0,0
https://www.youtube.com/watch?v=XeZ2jxbKUZs,AIB accused of discriminating against buyers of secondhand homes,3,2
https://www.youtube.com/watch?v=xBdxqrUuIBU,Mass held for soldier Shane Kearney in Killeagh Co Cork,6,1
https://www.youtube.com/watch?v=XB_e0vG5NsQ,Michelle ONeill challenges NI Secretary to do his job,11,2
https://www.youtube.com/watch?v=X1Wz9i4vkZY,Nollaig na mBan when why and how do we celebrate Womens Christmas in Ireland,13,0
https://www.youtube.com/watch?v=x1wf_0lWK1A,Cloneen couples letter reveals their mindset before death,34,18
https://www.youtube.com/watch?v=x04jrUY5lyU,Ministers Helen McEntee and Paschal Donohoe speak on recent Store street incident,49,167
https://www.youtube.com/watch?v=Wx6vzNaJyRM,Untruth or possible Ryan Tubridys Late Late Show exit and the payments audit,3,3
https://www.youtube.com/watch?v=WvZX6ouZvLo,Garda commissioner says civil liberty concerns over body cameras have been addressed,4,5
https://www.youtube.com/watch?v=WtbLAjvurqg,Petrol and diesel prices falling fast,6,0
https://www.youtube.com/watch?v=wRTlpTUrKGo,Nigel Owens calls for sanctions following incident in Wales defeat to Italy,888,219
https://www.youtube.com/watch?v=WRss6vwtp4o,Ireland Thinks Poll,307,429
https://www.youtube.com/watch?v=WQj29kc8ssE,The Sunday Independent Election 2016,0,0
https://www.youtube.com/watch?v=wpa4Uow34_E,Charlie Bird pays tribute to incredible Vicky Phelan,335,52
https://www.youtube.com/watch?v=WOPCesRV03A,IREvENG 40 points in the difference Id say  public predict the score for Ireland v England,8,3
https://www.youtube.com/watch?v=WnBNzWChiq0,Gerry The Monk Hutch photographed after his release,119,133
https://www.youtube.com/watch?v=wlWkVhnsr_w,Funeral of Irish soldier Declan DOC OConnell takes place,22,4
https://www.youtube.com/watch?v=WjISf8nY63E,Bus Éireann celebrates Busáras 70 years of service,8,2
https://www.youtube.com/watch?v=wfLtBci-7Q8,15 Organised Crime Networks under investigation by specialist garda unit,7,0
https://www.youtube.com/watch?v=We2055FeqjA,Thousands of protesters take to OConnell Street calling for an end to housing crisis,3,2
https://www.youtube.com/watch?v=w6GdWTfx_Ds,Cost of a new Government jet,4,3
https://www.youtube.com/watch?v=w1E6s2S9pVM,A march to commemorate the 10th anniversary of the death of Savita Halappanavar launched today,2,1
https://www.youtube.com/watch?v=W-1qUpGXR-U,Varadkar says Europe has highest standard of human rights at World Economic Forum,6,3
