Video URL,Title,Likes Count,Comment Count
https://www.youtube.com/watch?v=HzGqoqsCd08,Tucker Where are the  people,10465,2449
https://www.youtube.com/watch?v=W8TNdPdC_Gc,Economist to Tucker Bidens reckless policy will put Americans underwater,4636,758
https://www.youtube.com/watch?v=JaNdNcVol2Y,Tucker Carlson The Biden admin is incentivizing bad behavior,27646,6182
https://www.youtube.com/watch?v=aLs5sbdS_h0,Tulsi warns Tucker how taxes could fund puberty blockers on military bases,2602,473
https://www.youtube.com/watch?v=-9WI4bgzriE,PETA rep tells Tucker NYC rats arent the problem,9095,3392
https://www.youtube.com/watch?v=B1HRrI3mnas,Larry Elder joins the growing 2024 field,2497,813
https://www.youtube.com/watch?v=mGekTdtvT84,Glenn Greenwald warns Tucker that the Biden admin is using tactics tyrants use,12599,1997
https://www.youtube.com/watch?v=ELXexEbaBj8,Miranda Devine This might be the breakthrough Biden story,17065,2109
https://www.youtube.com/watch?v=Z5T1pVKfJ9M,Tucker This is the end of the First Amendment,36078,6879
https://www.youtube.com/watch?v=Vu1l-GI788E,Tucker Carlson Democrats know where the power is,16643,2526
https://www.youtube.com/watch?v=68MhtliIAvk,Robert F Kennedy Jr tells Tucker this is turning America into a system of socialism for the rich,65979,12637
https://www.youtube.com/watch?v=SAfGKyM5szo,Tucker This is a dark moment in our history,32108,5008
https://www.youtube.com/watch?v=xgwOAL1terc,Tucker Another one bites the dust,32377,3222
https://www.youtube.com/watch?v=MgW837Sql-g,Author warns Tucker about mob rule in America,8170,1547
https://www.youtube.com/watch?v=3Frx4IMX_Sw,Elon Musk tells Tucker this trajectory is depressing as hell,18677,2976
https://www.youtube.com/watch?v=MpSvyWLEu8M,Elon Musk Things are getting weird fast,64588,11571
https://www.youtube.com/watch?v=JikteM9YmNA,Twitter was absurdly overstaffed Elon Musk,30506,3123
https://www.youtube.com/watch?v=fm04Dvky3w8,Elon Musk tells Tucker his plans to create a TruthGPT AI platform,13927,1806
https://www.youtube.com/watch?v=TMGNF1DzPEw,Elon Musk If anyone would know about aliens it probably would be me,5427,707
https://www.youtube.com/watch?v=qbxStDmHFAE,Elon Musk reveals the goal of the new Twitter,39649,4276
https://www.youtube.com/watch?v=a2ZBEC16yH4,Elon Musk tells Tucker potential dangers of hyperintelligent AI,62740,9337
https://www.youtube.com/watch?v=bmSSAu20f0A,A first look at Tucker Carlson Originals O Canada,9945,2728
https://www.youtube.com/watch?v=JbS684TbyTY,Tucker taste tests chocolate covered crickets,4574,3047
https://www.youtube.com/watch?v=kEHzRnO8H0M,Politicians know when they control the food they control the people Activist,22877,4358
https://www.youtube.com/watch?v=h-df7v4yveI,Tucker Carlson Originals Let Them Eat Bugs,2720,995
https://www.youtube.com/watch?v=gjEv1K8SdTI,Chicago is going through slowmotion civilizational suicide Dan Proft,2887,845
https://www.youtube.com/watch?v=BesXzq2Cdlg,Glenn Greenwald The government is lying about the war in Ukraine,38604,5430
https://www.youtube.com/watch?v=dsPuo_c-0kg,Tucker says hello to beloved rodent couple fought the state to keep,8234,829
https://www.youtube.com/watch?v=jzpCKjl8OxQ,Tucker Carlson This will make you sick to your stomach,113756,19237
